event_id,tail_number,component_code,base_code,event_type,failure_mode,severity,flight_hours_at_failure,failed_at,repaired_at,labor_cost,parts_cost
14,PP-036,FMC,GRU,scheduled,,,,2020-07-22 07:32:51.526671196,2020-07-22 08:40:06.675842732,168.13,569.29
15,PP-036,CAB-PRESS,GRU,scheduled,,,,2020-07-22 07:51:11.126752558,2020-07-22 09:20:38.692065979,223.65,289.22
16,PP-036,GEN,GRU,scheduled,,,,2020-07-22 07:55:25.552725049,2020-07-22 08:37:20.151671437,104.77,104.63
17,PP-036,ELEV-TRIM,GRU,scheduled,,,,2020-07-22 08:08:32.374078555,2020-07-22 08:45:47.393486960,93.13,335.01
18,PP-036,APU-START,GRU,scheduled,,,,2020-07-22 08:33:16.013093002,2020-07-22 09:52:45.234083396,198.72,325.2
19,PP-036,FUEL-PUMP,GRU,scheduled,,,,2020-07-22 08:38:28.945354451,2020-07-22 10:33:50.272859595,288.39,93.28
20,PP-036,FUEL-CTRL,GRU,scheduled,,,,2020-07-22 08:43:33.447791228,2020-07-22 09:45:49.146104820,155.65,260.66
21,PP-036,MLG-ACT,GRU,scheduled,,,,2020-07-22 09:02:23.221743508,2020-07-22 10:07:32.815815468,162.9,754.85
22,PP-007,FUEL-PUMP,MIA,scheduled,,,,2020-07-30 06:07:28.824729083,2020-07-30 08:02:07.518386229,286.61,22.74
23,PP-007,FUEL-CTRL,MIA,scheduled,,,,2020-07-30 06:14:41.114244764,2020-07-30 07:24:34.770863759,174.74,11.21
24,PP-007,ENG-CORE,MIA,scheduled,,,,2020-07-30 06:16:50.407401917,2020-07-30 07:26:21.813817219,173.81,27310.66
25,PP-007,GEN,MIA,scheduled,,,,2020-07-30 06:20:15.935524701,2020-07-30 06:53:26.514024964,82.94,635.63
26,PP-007,APU-START,MIA,scheduled,,,,2020-07-30 06:47:07.558608173,2020-07-30 07:50:11.666263228,157.67,621.39
27,PP-007,BRAKE-ASM,MIA,scheduled,,,,2020-07-30 07:27:11.605538228,2020-07-30 09:15:56.545805808,271.87,370.75
28,PP-007,FMC,MIA,scheduled,,,,2020-07-30 07:30:45.141309718,2020-07-30 09:07:45.693965625,242.52,398.2
29,PP-007,MLG-ACT,MIA,scheduled,,,,2020-07-30 07:42:24.038270763,2020-07-30 09:41:31.534006528,297.81,1419.59
30,PP-007,CAB-PRESS,MIA,scheduled,,,,2020-07-30 08:22:43.739776566,2020-07-30 08:57:46.365722160,87.61,476.32
31,PP-007,AIL-ACT,MIA,scheduled,,,,2020-07-30 08:34:39.174591126,2020-07-30 09:35:44.439765391,152.72,1194.99
32,PP-007,HYD-PUMP,MIA,scheduled,,,,2020-07-30 08:37:45.942300626,2020-07-30 09:50:03.929861588,180.75,946.77
33,PP-007,NLG-STRUT,MIA,scheduled,,,,2020-07-30 09:18:27.342577017,2020-07-30 10:30:50.458528719,180.96,191.78
34,PP-007,ELEV-TRIM,MIA,scheduled,,,,2020-07-30 09:24:26.209884202,2020-07-30 10:50:53.907525115,216.15,168.59
35,PP-007,WING-SENS,MIA,scheduled,,,,2020-07-30 09:50:44.281596934,2020-07-30 11:24:08.058211399,233.49,63.55
36,PP-007,BATT,MIA,scheduled,,,,2020-07-30 09:56:57.415592010,2020-07-30 11:56:50.448119256,299.71,122.12
37,PP-001,AIL-ACT,LIS,scheduled,,,,2020-07-31 06:10:34.060336329,2020-07-31 07:01:42.114440824,127.84,15.75
38,PP-001,FUEL-PUMP,LIS,scheduled,,,,2020-07-31 06:20:00.197653824,2020-07-31 07:15:01.169408716,137.54,371.68
39,PP-001,GEN,LIS,scheduled,,,,2020-07-31 06:36:57.034791804,2020-07-31 07:51:43.968203388,186.96,720.76
40,PP-001,BRAKE-ASM,LIS,scheduled,,,,2020-07-31 06:44:08.053099085,2020-07-31 08:43:09.554385104,297.56,282.63
41,PP-001,BATT,LIS,scheduled,,,,2020-07-31 07:07:29.535570115,2020-07-31 07:59:37.200220729,130.32,108.33
42,PP-001,NLG-STRUT,LIS,scheduled,,,,2020-07-31 07:19:02.922017969,2020-07-31 08:07:44.967223456,121.75,290.59
43,PP-001,FUEL-CTRL,LIS,scheduled,,,,2020-07-31 07:56:27.131989437,2020-07-31 09:44:57.334694443,271.26,1708.61
44,PP-001,WING-SENS,LIS,scheduled,,,,2020-07-31 08:01:35.238083278,2020-07-31 09:44:54.582278414,258.31,46.57
45,PP-001,HYD-PUMP,LIS,scheduled,,,,2020-07-31 08:12:32.823042858,2020-07-31 09:27:53.701029811,188.37,446.35
46,PP-001,APU-START,LIS,scheduled,,,,2020-07-31 08:29:28.103351740,2020-07-31 10:01:34.699868237,230.27,699.71
47,PP-001,ELEV-TRIM,LIS,scheduled,,,,2020-07-31 08:30:54.606518535,2020-07-31 10:15:10.918063213,260.68,47.51
48,PP-001,CAB-PRESS,LIS,scheduled,,,,2020-07-31 08:50:03.815500544,2020-07-31 10:02:51.708564344,182.0,19.5
49,PP-001,ENG-CORE,LIS,scheduled,,,,2020-07-31 09:10:41.864532650,2020-07-31 10:32:13.056768970,203.8,14828.97
50,PP-001,MLG-ACT,LIS,scheduled,,,,2020-07-31 09:34:41.550881549,2020-07-31 10:32:05.599971368,143.5,2166.17
51,PP-001,FMC,LIS,scheduled,,,,2020-07-31 09:45:15.925574447,2020-07-31 10:38:25.859815764,132.91,1074.94
52,PP-033,FUEL-CTRL,JNB,scheduled,,,,2020-08-01 06:35:31.082754016,2020-08-01 07:45:34.499450969,175.14,256.55
53,PP-033,HYD-PUMP,JNB,scheduled,,,,2020-08-01 06:59:18.502242810,2020-08-01 07:42:51.619727898,108.88,703.13
54,PP-033,GEN,JNB,scheduled,,,,2020-08-01 07:16:03.052370292,2020-08-01 09:01:33.596132333,263.77,1120.28
55,PP-033,FUEL-PUMP,JNB,scheduled,,,,2020-08-01 07:29:16.822746439,2020-08-01 08:19:24.613129261,125.32,165.28
56,PP-033,NLG-STRUT,JNB,scheduled,,,,2020-08-01 07:42:13.160018982,2020-08-01 09:19:05.186427151,242.17,619.95
57,PP-033,BATT,JNB,scheduled,,,,2020-08-01 07:59:46.934414344,2020-08-01 09:24:46.671370330,212.49,33.48
58,PP-033,FMC,JNB,scheduled,,,,2020-08-01 08:11:10.663553663,2020-08-01 09:37:23.295055329,215.53,1212.52
59,PP-033,APU-START,JNB,scheduled,,,,2020-08-01 08:11:32.850961873,2020-08-01 09:35:51.248601042,210.77,326.29
60,PP-033,ENG-CORE,JNB,scheduled,,,,2020-08-01 08:27:58.508701965,2020-08-01 10:26:11.450010449,295.54,34560.38
61,PP-033,MLG-ACT,JNB,scheduled,,,,2020-08-01 08:32:21.754425957,2020-08-01 10:25:14.926735892,282.22,975.95
62,PP-033,AIL-ACT,JNB,scheduled,,,,2020-08-01 08:42:01.035568423,2020-08-01 10:39:32.897824128,293.83,1108.01
63,PP-033,WING-SENS,JNB,scheduled,,,,2020-08-01 08:44:02.332603309,2020-08-01 10:01:52.856487701,194.61,65.82
64,PP-033,BRAKE-ASM,JNB,scheduled,,,,2020-08-01 09:18:36.166310594,2020-08-01 10:41:02.426327944,206.09,106.13
65,PP-033,ELEV-TRIM,JNB,scheduled,,,,2020-08-01 09:45:52.625347655,2020-08-01 11:26:10.452866376,250.74,391.58
66,PP-033,CAB-PRESS,JNB,scheduled,,,,2020-08-01 09:51:37.590427410,2020-08-01 10:44:57.666190211,133.34,322.08
67,PP-010,FUEL-PUMP,MIA,scheduled,,,,2020-08-02 06:29:17.250918115,2020-08-02 07:18:33.706842530,123.19,495.02
68,PP-010,AIL-ACT,MIA,scheduled,,,,2020-08-02 06:36:08.755294265,2020-08-02 07:06:48.538089746,76.66,829.04
69,PP-010,FMC,MIA,scheduled,,,,2020-08-02 06:51:49.891188235,2020-08-02 07:47:21.619364430,138.82,1525.57
70,PP-010,BRAKE-ASM,MIA,scheduled,,,,2020-08-02 07:22:30.313735080,2020-08-02 08:15:15.524779181,131.88,101.03
71,PP-010,FUEL-CTRL,MIA,scheduled,,,,2020-08-02 07:24:50.978462775,2020-08-02 08:38:47.555096559,184.86,715.83
72,PP-010,NLG-STRUT,MIA,scheduled,,,,2020-08-02 07:26:49.330896044,2020-08-02 09:09:49.040075016,257.49,73.85
73,PP-010,ENG-CORE,MIA,scheduled,,,,2020-08-02 07:47:17.395154360,2020-08-02 08:37:28.759526121,125.47,31489.27
74,PP-010,BATT,MIA,scheduled,,,,2020-08-02 07:57:07.371114438,2020-08-02 09:07:34.474474571,176.13,225.22
75,PP-010,HYD-PUMP,MIA,scheduled,,,,2020-08-02 08:01:03.251869522,2020-08-02 09:41:16.264136538,250.54,431.7
76,PP-010,APU-START,MIA,scheduled,,,,2020-08-02 08:06:05.291471672,2020-08-02 09:31:28.547383933,213.47,252.34
77,PP-010,MLG-ACT,MIA,scheduled,,,,2020-08-02 08:30:40.665072764,2020-08-02 09:20:59.989142952,125.81,2033.61
78,PP-010,GEN,MIA,scheduled,,,,2020-08-02 08:53:50.239102566,2020-08-02 09:41:34.062887206,119.33,283.24
79,PP-010,CAB-PRESS,MIA,scheduled,,,,2020-08-02 09:14:09.341726576,2020-08-02 09:52:29.490713359,95.84,212.57
80,PP-010,ELEV-TRIM,MIA,scheduled,,,,2020-08-02 09:32:03.774759302,2020-08-02 11:27:58.162581892,289.77,207.99
81,PP-010,WING-SENS,MIA,scheduled,,,,2020-08-02 09:41:28.403573458,2020-08-02 11:29:13.971890577,269.4,14.33
82,PP-032,HYD-PUMP,LIS,failure,seal leak,minor,978.5,2020-08-06 05:27:21.173216378,2020-08-06 13:04:48.116119558,1216.73,13855.48
83,PP-018,MLG-ACT,GRU,scheduled,,,,2020-08-14 06:26:03.996384946,2020-08-14 07:18:27.751551881,130.99,2373.27
84,PP-018,CAB-PRESS,GRU,scheduled,,,,2020-08-14 06:35:33.619360021,2020-08-14 08:09:59.264856622,236.07,206.08
85,PP-018,FUEL-CTRL,GRU,scheduled,,,,2020-08-14 06:56:08.534205994,2020-08-14 07:53:10.112469720,142.57,946.72
86,PP-018,GEN,GRU,scheduled,,,,2020-08-14 06:56:19.440572596,2020-08-14 08:31:32.488963165,238.04,152.57
87,PP-018,AIL-ACT,GRU,scheduled,,,,2020-08-14 06:56:26.452421090,2020-08-14 08:18:58.188549166,206.32,133.88
88,PP-018,FUEL-PUMP,GRU,scheduled,,,,2020-08-14 07:08:14.936720382,2020-08-14 08:26:27.195939269,195.51,473.7
89,PP-018,APU-START,GRU,scheduled,,,,2020-08-14 07:24:38.487787956,2020-08-14 08:45:19.915677872,201.73,676.42
90,PP-018,HYD-PUMP,GRU,scheduled,,,,2020-08-14 07:27:13.426952469,2020-08-14 08:59:34.796193960,230.89,62.93
91,PP-018,BRAKE-ASM,GRU,scheduled,,,,2020-08-14 07:29:46.365500319,2020-08-14 08:44:01.236458069,185.62,595.31
92,PP-018,ENG-CORE,GRU,scheduled,,,,2020-08-14 07:45:49.742473165,2020-08-14 09:28:54.200927343,257.69,33763.52
93,PP-018,FMC,GRU,scheduled,,,,2020-08-14 07:54:28.993566298,2020-08-14 08:53:18.016790588,147.04,224.38
94,PP-018,BATT,GRU,scheduled,,,,2020-08-14 08:01:42.768009479,2020-08-14 08:55:00.233333988,133.23,284.78
95,PP-018,ELEV-TRIM,GRU,scheduled,,,,2020-08-14 08:24:51.061957210,2020-08-14 10:02:53.960225231,245.12,204.0
96,PP-018,WING-SENS,GRU,scheduled,,,,2020-08-14 08:52:43.851461674,2020-08-14 10:26:46.715175695,235.12,34.26
97,PP-018,NLG-STRUT,GRU,scheduled,,,,2020-08-14 09:37:51.304593282,2020-08-14 11:18:06.057849081,250.61,264.51
98,PP-031,FUEL-PUMP,MIA,failure,pressure loss,minor,371.5,2020-08-15 21:56:59.236614572,2020-08-16 04:15:42.727026064,911.38,10106.02
99,PP-033,CAB-PRESS,JNB,failure,software fault,minor,1331.8,2020-08-21 19:19:58.194493008,2020-08-21 23:13:56.013790922,536.17,6558.54
100,PP-041,AIL-ACT,MIA,scheduled,,,,2020-08-28 06:04:28.787711496,2020-08-28 07:12:06.260786934,169.06,1030.92
101,PP-041,WING-SENS,MIA,scheduled,,,,2020-08-28 06:28:22.142881046,2020-08-28 07:26:37.796026298,145.65,8.81
102,PP-041,BRAKE-ASM,MIA,scheduled,,,,2020-08-28 06:29:43.773411131,2020-08-28 07:17:29.790727874,119.42,591.62
103,PP-041,FMC,MIA,scheduled,,,,2020-08-28 06:33:59.269112272,2020-08-28 07:24:30.219554880,126.29,1048.37
104,PP-041,HYD-PUMP,MIA,scheduled,,,,2020-08-28 06:34:38.724636017,2020-08-28 07:20:18.807345445,114.17,541.58
105,PP-041,ELEV-TRIM,MIA,scheduled,,,,2020-08-28 07:01:31.738979919,2020-08-28 08:48:15.579399671,266.83,37.47
106,PP-041,GEN,MIA,scheduled,,,,2020-08-28 07:26:37.418868648,2020-08-28 08:37:07.975093682,176.27,539.51
107,PP-041,BATT,MIA,scheduled,,,,2020-08-28 07:33:32.066242586,2020-08-28 09:19:53.293471609,265.88,140.5
108,PP-041,MLG-ACT,MIA,scheduled,,,,2020-08-28 07:37:17.352332749,2020-08-28 08:40:41.909372374,158.52,2032.28
109,PP-041,FUEL-PUMP,MIA,scheduled,,,,2020-08-28 07:38:06.999154453,2020-08-28 08:53:06.575816330,187.48,211.77
110,PP-041,APU-START,MIA,scheduled,,,,2020-08-28 07:39:57.445977894,2020-08-28 08:55:25.282854047,188.66,7.33
111,PP-041,NLG-STRUT,MIA,scheduled,,,,2020-08-28 08:48:18.481922497,2020-08-28 09:52:25.557646454,160.29,201.44
112,PP-041,ENG-CORE,MIA,scheduled,,,,2020-08-28 09:30:17.839561754,2020-08-28 10:36:39.841963265,165.92,40289.48
113,PP-041,CAB-PRESS,MIA,scheduled,,,,2020-08-28 09:30:58.665827863,2020-08-28 10:57:12.468224661,215.58,128.13
114,PP-041,FUEL-CTRL,MIA,scheduled,,,,2020-08-28 09:56:52.186543454,2020-08-28 10:34:18.537865865,93.6,362.85
115,PP-023,ENG-CORE,JNB,scheduled,,,,2020-09-03 06:15:26.773937490,2020-09-03 07:36:28.712181734,202.58,3422.6
116,PP-023,WING-SENS,JNB,scheduled,,,,2020-09-03 06:18:04.476868464,2020-09-03 07:37:17.759640279,198.05,110.39
117,PP-023,FUEL-CTRL,JNB,scheduled,,,,2020-09-03 06:19:29.820198841,2020-09-03 08:06:40.613950453,267.95,780.34
118,PP-036,FUEL-CTRL,GRU,failure,software fault,minor,1426.0,2020-09-03 06:45:41.150785306,2020-09-03 12:09:14.621217805,879.77,17311.53
119,PP-023,HYD-PUMP,JNB,scheduled,,,,2020-09-03 06:46:23.825595647,2020-09-03 08:28:49.257073969,256.06,1048.61
120,PP-023,AIL-ACT,JNB,scheduled,,,,2020-09-03 07:18:53.314411749,2020-09-03 08:26:37.301075772,169.33,1201.0
121,PP-023,GEN,JNB,scheduled,,,,2020-09-03 07:19:30.599383982,2020-09-03 08:03:42.981500808,110.52,559.9
122,PP-023,APU-START,JNB,scheduled,,,,2020-09-03 07:41:39.413522208,2020-09-03 09:03:04.513695831,203.55,421.21
123,PP-023,MLG-ACT,JNB,scheduled,,,,2020-09-03 07:47:30.650509450,2020-09-03 08:17:41.054791221,75.43,961.18
124,PP-023,ELEV-TRIM,JNB,scheduled,,,,2020-09-03 08:16:16.490068405,2020-09-03 09:48:22.245973721,230.24,277.89
125,PP-023,NLG-STRUT,JNB,scheduled,,,,2020-09-03 08:25:45.180794342,2020-09-03 10:04:37.500649019,247.18,167.57
126,PP-023,BATT,JNB,scheduled,,,,2020-09-03 08:33:15.809221974,2020-09-03 09:46:00.375309705,181.86,202.6
127,PP-023,BRAKE-ASM,JNB,scheduled,,,,2020-09-03 08:48:26.182564456,2020-09-03 10:10:01.607647701,203.98,366.89
128,PP-023,FUEL-PUMP,JNB,scheduled,,,,2020-09-03 08:52:28.045710760,2020-09-03 09:24:19.442202420,79.64,330.38
129,PP-023,FMC,JNB,scheduled,,,,2020-09-03 09:40:56.186455842,2020-09-03 11:32:57.554069610,280.06,1844.9
130,PP-023,CAB-PRESS,JNB,scheduled,,,,2020-09-03 09:51:07.798458368,2020-09-03 10:58:49.662362162,169.24,394.8
131,PP-007,FUEL-PUMP,MIA,failure,motor burnout,critical,1868.3,2020-09-05 02:56:51.604204723,2020-09-05 13:02:32.807400055,1566.54,7576.89
132,PP-009,BRAKE-ASM,JNB,scheduled,,,,2020-09-10 06:36:09.374469013,2020-09-10 08:29:13.482156600,282.67,286.84
133,PP-009,WING-SENS,JNB,scheduled,,,,2020-09-10 06:51:12.564312859,2020-09-10 07:30:33.073881374,98.35,191.12
134,PP-009,ENG-CORE,JNB,scheduled,,,,2020-09-10 06:55:33.198767266,2020-09-10 08:43:02.719052879,268.73,31967.37
135,PP-009,CAB-PRESS,JNB,scheduled,,,,2020-09-10 07:35:31.052374423,2020-09-10 09:30:39.784729601,287.86,428.46
136,PP-009,NLG-STRUT,JNB,scheduled,,,,2020-09-10 07:37:15.584672646,2020-09-10 08:50:47.577200211,183.83,861.67
137,PP-009,GEN,JNB,scheduled,,,,2020-09-10 07:45:29.876657485,2020-09-10 08:30:05.798764261,111.5,279.62
138,PP-009,APU-START,JNB,scheduled,,,,2020-09-10 07:47:19.165563604,2020-09-10 09:38:33.551253267,278.1,181.72
139,PP-009,BATT,JNB,scheduled,,,,2020-09-10 07:53:05.117600736,2020-09-10 09:15:26.917402239,205.91,57.49
140,PP-009,FUEL-CTRL,JNB,scheduled,,,,2020-09-10 08:04:05.471142906,2020-09-10 09:04:47.177352525,151.74,832.3
141,PP-009,HYD-PUMP,JNB,scheduled,,,,2020-09-10 08:23:08.493506817,2020-09-10 10:01:11.536557210,245.13,615.31
142,PP-009,FMC,JNB,scheduled,,,,2020-09-10 08:49:05.627259482,2020-09-10 09:56:04.226920140,167.44,1968.4
143,PP-009,AIL-ACT,JNB,scheduled,,,,2020-09-10 09:05:13.167109249,2020-09-10 09:55:11.831255245,124.94,522.46
144,PP-009,FUEL-PUMP,JNB,scheduled,,,,2020-09-10 09:22:06.645113595,2020-09-10 10:32:50.125342295,176.81,66.29
145,PP-009,MLG-ACT,JNB,scheduled,,,,2020-09-10 09:28:02.910258868,2020-09-10 11:26:47.827572129,296.87,2881.81
146,PP-009,ELEV-TRIM,JNB,scheduled,,,,2020-09-10 09:56:26.718842069,2020-09-10 11:44:40.983706236,270.59,79.5
147,PP-032,FUEL-PUMP,LIS,scheduled,,,,2020-09-19 06:22:03.037397644,2020-09-19 07:59:19.321540759,243.18,189.22
148,PP-032,NLG-STRUT,LIS,scheduled,,,,2020-09-19 06:35:43.013330305,2020-09-19 07:22:33.205183913,117.09,386.44
149,PP-032,CAB-PRESS,LIS,scheduled,,,,2020-09-19 06:50:40.244122139,2020-09-19 07:54:36.845126703,159.86,461.52
150,PP-032,FUEL-CTRL,LIS,scheduled,,,,2020-09-19 07:30:08.637654501,2020-09-19 09:30:08.228666356,299.98,1640.69
151,PP-032,ENG-CORE,LIS,scheduled,,,,2020-09-19 07:35:32.888243549,2020-09-19 08:33:42.090179585,145.38,33201.65
152,PP-032,ELEV-TRIM,LIS,scheduled,,,,2020-09-19 07:54:01.134145581,2020-09-19 09:21:43.409091097,219.26,197.79
153,PP-032,MLG-ACT,LIS,scheduled,,,,2020-09-19 08:06:06.812521511,2020-09-19 10:05:13.759226048,297.79,627.47
154,PP-032,BATT,LIS,scheduled,,,,2020-09-19 08:29:38.336891156,2020-09-19 09:40:45.216658197,177.79,233.9
155,PP-032,FMC,LIS,scheduled,,,,2020-09-19 08:30:02.293575101,2020-09-19 09:57:26.557294397,218.51,870.02
156,PP-032,WING-SENS,LIS,scheduled,,,,2020-09-19 08:43:08.106346417,2020-09-19 09:34:13.134583748,127.71,174.57
157,PP-032,GEN,LIS,scheduled,,,,2020-09-19 09:11:41.385860610,2020-09-19 10:55:18.063154757,259.03,771.91
158,PP-032,APU-START,LIS,scheduled,,,,2020-09-19 09:22:58.417643343,2020-09-19 11:21:58.127191724,297.49,126.5
159,PP-032,AIL-ACT,LIS,scheduled,,,,2020-09-19 09:49:26.955045143,2020-09-19 10:39:12.003048755,124.38,912.71
160,PP-032,HYD-PUMP,LIS,scheduled,,,,2020-09-19 09:51:16.699005584,2020-09-19 11:28:31.727136605,243.13,809.73
161,PP-032,BRAKE-ASM,LIS,scheduled,,,,2020-09-19 09:58:20.695597974,2020-09-19 10:28:23.974020906,75.14,346.13
162,PP-005,FMC,LIS,failure,software fault,minor,760.9,2020-09-20 01:46:53.336340006,2020-09-20 04:31:25.219526858,398.89,23798.69
163,PP-043,ELEV-TRIM,LIS,failure,gear wear,major,125.1,2020-09-25 18:56:02.352774787,2020-09-26 01:44:03.004851763,937.64,8783.93
164,PP-030,BATT,MIA,failure,capacity loss,major,773.5,2020-09-27 11:52:20.658579655,2020-09-27 14:58:02.205404688,487.99,3304.16
165,PP-031,BATT,MIA,failure,thermal runaway,major,607.2,2020-09-27 19:38:58.583851704,2020-09-27 21:54:40.559042526,360.73,3445.63
166,PP-010,BATT,MIA,failure,connector corrosion,minor,1304.7,2020-10-01 15:01:55.835984861,2020-10-01 17:21:50.443738845,359.1,3476.45
167,PP-039,FUEL-PUMP,MIA,scheduled,,,,2020-10-08 06:14:07.140708006,2020-10-08 07:29:00.664310728,187.23,498.8
168,PP-039,CAB-PRESS,MIA,scheduled,,,,2020-10-08 06:20:57.420752057,2020-10-08 07:01:29.193300865,101.32,31.93
169,PP-039,GEN,MIA,scheduled,,,,2020-10-08 06:51:40.834124879,2020-10-08 08:29:40.872571079,245.0,955.95
170,PP-039,WING-SENS,MIA,scheduled,,,,2020-10-08 06:55:12.467957093,2020-10-08 08:28:59.720486506,234.47,151.88
171,PP-039,FUEL-CTRL,MIA,scheduled,,,,2020-10-08 07:14:50.690783153,2020-10-08 09:13:49.033425159,297.43,431.83
172,PP-039,APU-START,MIA,scheduled,,,,2020-10-08 07:33:32.305867534,2020-10-08 09:02:18.708661578,221.93,28.55
173,PP-039,ELEV-TRIM,MIA,scheduled,,,,2020-10-08 07:44:39.907169414,2020-10-08 08:59:29.153095552,187.05,7.8
174,PP-039,AIL-ACT,MIA,scheduled,,,,2020-10-08 08:06:48.679026461,2020-10-08 09:01:45.989775046,137.39,348.3
175,PP-039,MLG-ACT,MIA,scheduled,,,,2020-10-08 08:21:53.960984970,2020-10-08 09:03:47.772827040,104.74,2817.78
176,PP-039,BRAKE-ASM,MIA,scheduled,,,,2020-10-08 08:27:01.114002618,2020-10-08 08:58:28.117534988,78.63,310.11
177,PP-039,ENG-CORE,MIA,scheduled,,,,2020-10-08 09:00:36.554162698,2020-10-08 09:43:53.132379362,108.19,18090.13
178,PP-039,BATT,MIA,scheduled,,,,2020-10-08 09:00:55.524113203,2020-10-08 10:58:22.459662383,293.62,38.21
179,PP-039,HYD-PUMP,MIA,scheduled,,,,2020-10-08 09:09:58.506673712,2020-10-08 09:48:50.722304641,97.18,530.8
180,PP-039,FMC,MIA,scheduled,,,,2020-10-08 09:24:15.530720990,2020-10-08 10:36:52.615519556,181.55,1595.85
181,PP-039,NLG-STRUT,MIA,scheduled,,,,2020-10-08 09:37:30.613270270,2020-10-08 11:31:26.965644868,284.85,235.09
182,PP-026,BRAKE-ASM,JNB,failure,sensor fault,minor,310.0,2020-10-18 19:33:24.257000475,2020-10-19 04:24:21.349857573,1295.6,6846.83
183,PP-001,CAB-PRESS,LIS,failure,software fault,minor,2249.5,2020-10-22 22:13:11.882530224,2020-10-23 04:21:48.850066940,954.77,4210.94
184,PP-036,FUEL-PUMP,GRU,failure,seal leak,minor,1746.8,2020-10-23 09:31:23.863630253,2020-10-23 14:54:50.488136018,762.06,8799.58
185,PP-020,FUEL-CTRL,GRU,failure,software fault,minor,851.6,2020-10-28 03:19:52.938879047,2020-10-28 16:52:17.298590184,2187.67,25977.3
186,PP-017,FMC,LIS,failure,software fault,minor,1009.2,2020-10-28 07:30:38.118348270,2020-10-28 11:22:54.402287765,567.55,27142.04
187,PP-018,FMC,GRU,failure,power supply fault,minor,1987.9,2020-10-31 12:01:21.084599528,2020-10-31 14:41:22.614308958,413.64,16071.64
188,PP-044,BRAKE-ASM,LIS,scheduled,,,,2020-11-05 06:11:26.429116632,2020-11-05 06:48:59.842920634,93.89,622.33
189,PP-044,CAB-PRESS,LIS,scheduled,,,,2020-11-05 06:37:57.385791709,2020-11-05 07:09:41.382771856,79.33,110.48
190,PP-044,WING-SENS,LIS,scheduled,,,,2020-11-05 06:39:22.653976209,2020-11-05 08:21:20.335996809,254.9,3.81
191,PP-044,FUEL-CTRL,LIS,scheduled,,,,2020-11-05 07:10:35.891544987,2020-11-05 07:45:56.741998346,88.37,1360.22
192,PP-044,ENG-CORE,LIS,scheduled,,,,2020-11-05 07:13:15.519520134,2020-11-05 07:56:24.022577751,107.85,25960.95
193,PP-044,FUEL-PUMP,LIS,scheduled,,,,2020-11-05 07:23:04.223469249,2020-11-05 09:21:26.490696308,295.93,455.51
194,PP-044,BATT,LIS,scheduled,,,,2020-11-05 07:32:44.928113437,2020-11-05 08:06:42.981141980,84.92,71.56
195,PP-044,ELEV-TRIM,LIS,scheduled,,,,2020-11-05 07:37:55.775949963,2020-11-05 08:28:33.684393688,126.58,302.34
196,PP-044,APU-START,LIS,scheduled,,,,2020-11-05 07:51:39.431463531,2020-11-05 08:39:28.327886303,119.54,376.5
197,PP-044,AIL-ACT,LIS,scheduled,,,,2020-11-05 08:01:13.058597094,2020-11-05 08:44:30.610065852,108.23,304.71
198,PP-044,FMC,LIS,scheduled,,,,2020-11-05 08:09:14.549285062,2020-11-05 08:44:25.119346343,87.94,767.96
