tail_number,flight_date,flight_hours,flight_cycles
PP-001,2020-08-22,9.11,6
PP-001,2020-08-23,11.85,7
PP-001,2020-08-24,11.09,7
PP-001,2020-08-25,7.81,5
PP-001,2020-08-26,8.49,5
PP-001,2020-08-27,7.08,4
PP-001,2020-08-28,8.12,5
PP-001,2020-08-29,9.21,6
PP-001,2020-08-30,10.28,6
PP-001,2020-08-31,7.96,5
PP-001,2020-09-01,8.05,5
PP-001,2020-09-02,6.26,4
PP-001,2020-09-03,8.64,5
PP-001,2020-09-04,7.56,5
PP-001,2020-09-05,8.2,5
PP-001,2020-09-06,7.78,5
PP-001,2020-09-07,8.72,5
PP-001,2020-09-08,6.72,4
PP-001,2020-09-09,7.07,4
PP-001,2020-09-10,11.39,7
PP-001,2020-09-11,7.29,5
PP-001,2020-09-12,7.52,5
PP-001,2020-09-13,11.04,7
PP-001,2020-09-14,12.32,8
PP-001,2020-09-15,7.43,5
PP-001,2020-09-16,8.39,5
PP-001,2020-09-17,9.24,6
PP-001,2020-09-18,10.91,7
PP-001,2020-09-19,7.65,5
PP-001,2020-09-20,8.54,5
PP-001,2020-09-21,9.77,6
PP-001,2020-09-22,9.36,6
PP-001,2020-09-23,8.38,5
PP-001,2020-09-24,8.67,5
PP-001,2020-09-25,7.18,5
PP-001,2020-09-26,8.55,5
PP-001,2020-09-27,8.51,5
PP-001,2020-09-28,9.11,6
PP-001,2020-09-29,8.17,5
PP-001,2020-09-30,9.4,6
PP-001,2020-10-01,10.05,6
PP-001,2020-10-02,9.02,6
PP-001,2020-10-03,9.26,6
PP-001,2020-10-04,8.9,6
PP-001,2020-10-05,8.83,6
PP-001,2020-10-06,7.97,5
PP-001,2020-10-07,9.21,6
PP-001,2020-10-08,8.72,5
PP-001,2020-10-09,11.35,7
PP-001,2020-10-10,10.72,7
PP-001,2020-10-11,9.3,6
PP-001,2020-10-12,7.92,5
PP-001,2020-10-13,7.5,5
PP-001,2020-10-14,10.26,6
PP-001,2020-10-15,9.15,6
PP-001,2020-10-16,9.41,6
PP-001,2020-10-17,6.74,4
PP-001,2020-10-18,9.95,6
PP-001,2020-10-19,9.38,6
PP-001,2020-10-20,7.5,5
PP-001,2020-10-21,8.27,5
PP-001,2020-10-22,9.15,6
PP-001,2020-10-23,8.9,6
PP-001,2020-10-24,8.48,5
PP-001,2020-10-25,8.71,5
PP-001,2020-10-26,0.0,0
PP-001,2020-10-27,9.02,6
PP-001,2020-10-28,10.6,7
PP-001,2020-10-29,5.75,4
PP-001,2020-10-30,8.55,5
PP-001,2020-10-31,9.05,6
PP-001,2020-11-01,9.19,6
PP-001,2020-11-02,8.39,5
PP-001,2020-11-03,6.73,4
PP-001,2020-11-04,9.23,6
PP-001,2020-11-05,10.91,7
PP-001,2020-11-06,6.99,4
PP-001,2020-11-07,9.87,6
PP-001,2020-11-08,8.44,5
PP-001,2020-11-09,8.76,6
PP-001,2020-11-10,7.57,5
PP-001,2020-11-11,8.43,5
PP-001,2020-11-12,10.39,7
PP-001,2020-11-13,9.53,6
PP-001,2020-11-14,10.91,7
PP-001,2020-11-15,10.25,6
PP-001,2020-11-16,9.36,6
PP-001,2020-11-17,10.93,7
PP-001,2020-11-18,9.36,6
PP-001,2020-11-19,9.83,6
PP-001,2020-11-20,8.48,5
PP-001,2020-11-21,8.91,6
PP-001,2020-11-22,8.0,5
PP-001,2020-11-23,10.02,6
PP-001,2020-11-24,7.42,5
PP-001,2020-11-25,9.77,6
PP-001,2020-11-26,8.61,5
PP-001,2020-11-27,10.24,6
PP-001,2020-11-28,0.0,0
PP-001,2020-11-29,11.02,7
PP-001,2020-11-30,9.71,6
PP-001,2020-12-01,6.95,4
PP-001,2020-12-02,8.75,5
PP-001,2020-12-03,0.0,0
PP-001,2020-12-04,8.21,5
PP-001,2020-12-05,10.65,7
PP-001,2020-12-06,9.6,6
PP-001,2020-12-07,8.0,5
PP-001,2020-12-08,7.62,5
PP-001,2020-12-09,8.87,6
PP-001,2020-12-10,7.37,5
PP-001,2020-12-11,8.03,5
PP-001,2020-12-12,9.21,6
PP-001,2020-12-13,10.22,6
PP-001,2020-12-14,9.56,6
PP-001,2020-12-15,6.08,4
PP-001,2020-12-16,9.2,6
PP-001,2020-12-17,8.92,6
PP-001,2020-12-18,9.33,6
PP-001,2020-12-19,10.77,7
PP-001,2020-12-20,6.36,4
PP-001,2020-12-21,0.0,0
PP-001,2020-12-22,9.54,6
PP-001,2020-12-23,6.94,4
PP-001,2020-12-24,0.0,0
PP-001,2020-12-25,9.28,6
PP-001,2020-12-26,9.85,6
PP-001,2020-12-27,8.15,5
PP-001,2020-12-28,9.81,6
PP-001,2020-12-29,10.12,6
PP-001,2020-12-30,9.11,6
PP-001,2020-12-31,9.12,6
PP-001,2021-01-01,9.16,6
PP-001,2021-01-02,7.8,5
PP-001,2021-01-03,8.66,5
PP-001,2021-01-04,0.0,0
PP-001,2021-01-05,9.29,6
PP-001,2021-01-06,10.03,6
PP-001,2021-01-07,7.56,5
PP-001,2021-01-08,8.68,5
PP-001,2021-01-09,10.61,7
PP-001,2021-01-10,7.94,5
PP-001,2021-01-11,7.85,5
PP-001,2021-01-12,9.08,6
PP-001,2021-01-13,9.85,6
PP-001,2021-01-14,0.0,0
PP-001,2021-01-15,10.43,7
PP-001,2021-01-16,9.86,6
PP-001,2021-01-17,9.84,6
PP-001,2021-01-18,0.0,0
PP-001,2021-01-19,11.63,7
PP-001,2021-01-20,8.59,5
PP-001,2021-01-21,6.43,4
PP-001,2021-01-22,10.76,7
PP-001,2021-01-23,8.28,5
PP-001,2021-01-24,8.96,6
PP-001,2021-01-25,10.41,7
PP-001,2021-01-26,6.91,4
PP-001,2021-01-27,7.33,5
PP-001,2021-01-28,6.91,4
PP-001,2021-01-29,7.88,5
PP-001,2021-01-30,9.36,6
PP-001,2021-01-31,9.46,6
PP-001,2021-02-01,9.17,6
PP-001,2021-02-02,7.14,4
PP-001,2021-02-03,6.06,4
PP-001,2021-02-04,8.9,6
PP-001,2021-02-05,8.27,5
PP-001,2021-02-06,9.39,6
PP-001,2021-02-07,0.0,0
PP-001,2021-02-08,9.0,6
PP-001,2021-02-09,9.75,6
PP-001,2021-02-10,9.11,6
PP-001,2021-02-11,9.47,6
PP-001,2021-02-12,7.99,5
PP-001,2021-02-13,8.62,5
PP-001,2021-02-14,9.07,6
PP-001,2021-02-15,9.82,6
PP-001,2021-02-16,8.36,5
PP-001,2021-02-17,9.46,6
PP-001,2021-02-18,8.51,5
PP-001,2021-02-19,8.69,5
PP-001,2021-02-20,9.83,6
PP-001,2021-02-21,6.44,4
PP-001,2021-02-22,7.28,5
PP-001,2021-02-23,7.06,4
PP-001,2021-02-24,6.03,4
PP-001,2021-02-25,8.02,5
PP-001,2021-02-26,9.73,6
PP-001,2021-02-27,8.49,5
PP-001,2021-02-28,9.07,6
PP-001,2021-03-01,10.14,6
PP-001,2021-03-02,10.43,7
PP-001,2021-03-03,8.75,5
PP-001,2021-03-04,10.46,7
PP-001,2021-03-05,8.94,6
PP-001,2021-03-06,7.83,5
PP-001,2021-03-07,8.12,5
PP-001,2021-03-08,7.06,4
PP-001,2021-03-09,7.77,5
PP-001,2021-03-10,8.4,5
PP-001,2021-03-11,9.8,6
PP-001,2021-03-12,10.9,7
PP-001,2021-03-13,7.18,5
PP-001,2021-03-14,9.31,6
PP-001,2021-03-15,7.59,5
PP-001,2021-03-16,9.4,6
PP-001,2021-03-17,8.68,5
PP-001,2021-03-18,6.64,4
PP-001,2021-03-19,9.95,6
PP-001,2021-03-20,8.11,5
PP-001,2021-03-21,8.19,5
PP-001,2021-03-22,7.55,5
PP-001,2021-03-23,8.05,5
PP-001,2021-03-24,9.35,6
PP-001,2021-03-25,8.61,5
PP-001,2021-03-26,9.23,6
PP-001,2021-03-27,9.27,6
PP-001,2021-03-28,10.42,7
PP-001,2021-03-29,8.42,5
PP-001,2021-03-30,7.06,4
PP-001,2021-03-31,10.11,6
PP-001,2021-04-01,8.44,5
PP-001,2021-04-02,10.17,6
PP-001,2021-04-03,9.29,6
PP-001,2021-04-04,8.68,5
PP-001,2021-04-05,9.25,6
PP-001,2021-04-06,11.18,7
PP-001,2021-04-07,11.33,7
PP-001,2021-04-08,8.92,6
PP-001,2021-04-09,9.03,6
PP-001,2021-04-10,10.13,6
PP-001,2021-04-11,7.82,5
PP-001,2021-04-12,9.23,6
PP-001,2021-04-13,8.8,6
PP-001,2021-04-14,9.21,6
PP-001,2021-04-15,7.83,5
PP-001,2021-04-16,6.93,4
PP-001,2021-04-17,6.35,4
PP-001,2021-04-18,7.49,5
PP-001,2021-04-19,8.28,5
PP-001,2021-04-20,8.48,5
PP-001,2021-04-21,11.16,7
PP-001,2021-04-22,10.16,6
PP-001,2021-04-23,7.68,5
PP-001,2021-04-24,9.25,6
PP-001,2021-04-25,8.35,5
PP-001,2021-04-26,8.49,5
PP-001,2021-04-27,9.06,6
PP-001,2021-04-28,9.58,6
PP-001,2021-04-29,8.43,5
PP-001,2021-04-30,10.11,6
PP-001,2021-05-01,7.46,5
PP-001,2021-05-02,8.84,6
PP-001,2021-05-03,11.95,8
PP-001,2021-05-04,9.1,6
PP-001,2021-05-05,10.55,7
PP-001,2021-05-06,8.94,6
PP-001,2021-05-07,9.53,6
PP-001,2021-05-08,8.77,6
PP-001,2021-05-09,8.63,5
PP-001,2021-05-10,7.9,5
PP-001,2021-05-11,0.0,0
PP-001,2021-05-12,7.81,5
PP-001,2021-05-13,9.63,6
PP-001,2021-05-14,10.14,6
PP-001,2021-05-15,9.27,6
PP-001,2021-05-16,8.49,5
PP-001,2021-05-17,9.38,6
PP-001,2021-05-18,8.46,5
PP-001,2021-05-19,9.96,6
PP-001,2021-05-20,6.64,4
PP-001,2021-05-21,8.43,5
PP-001,2021-05-22,6.44,4
PP-001,2021-05-23,7.04,4
PP-001,2021-05-24,10.47,7
PP-001,2021-05-25,9.91,6
PP-001,2021-05-26,7.97,5
PP-001,2021-05-27,7.03,4
PP-001,2021-05-28,5.28,3
PP-001,2021-05-29,8.18,5
PP-001,2021-05-30,11.74,7
PP-001,2021-05-31,9.36,6
PP-001,2021-06-01,0.0,0
PP-001,2021-06-02,9.39,6
PP-001,2021-06-03,6.96,4
PP-001,2021-06-04,8.48,5
PP-001,2021-06-05,8.95,6
PP-001,2021-06-06,8.73,5
PP-001,2021-06-07,9.78,6
PP-001,2021-06-08,9.25,6
PP-001,2021-06-09,9.64,6
PP-001,2021-06-10,8.01,5
PP-001,2021-06-11,9.91,6
PP-001,2021-06-12,10.79,7
PP-001,2021-06-13,0.0,0
PP-001,2021-06-14,7.77,5
PP-001,2021-06-15,10.44,7
